scientific_name,ebird_code,common_name,alpha
Abavorana luctuosa,,,
Abeillia abeillei,emchum1,Emerald-chinned Hummingbird,ECHU
Abroscopus albogularis,rufwar1,Rufous-faced Warbler,
Abroscopus schisticeps,blfwar1,Black-faced Warbler,
Abroscopus superciliaris,yebwar1,Yellow-bellied Warbler,
Aburria aburri,watgua1,Wattled Guan,
Acanthagenys rufogularis,spchon1,Spiny-cheeked Honeyeater,
Acanthidops bairdi,pebfin1,Peg-billed Finch,PBFI
Acanthinodera cumingii,,,
Acanthis flammea,redpol1,Redpoll,REDP
Acanthisitta chloris,riflem1,Rifleman,
Acanthiza apicalis,inltho1,Inland Thornbill,
Acanthiza chrysorrhoa,yertho1,Yellow-rumped Thornbill,
Acanthiza cinerea,mouger1,Grey Thornbill,
Acanthiza ewingii,tastho1,Tasmanian Thornbill,
Acanthiza inornata,westho1,Western Thornbill,
Acanthiza iredalei,slbtho2,Slender-billed Thornbill,
Acanthiza katherina,moutho1,Mountain Thornbill,
Acanthiza lineata,strtho1,Striated Thornbill,
Acanthiza murina,paptho1,New Guinea Thornbill,
Acanthiza nana,yeltho1,Yellow Thornbill,
Acanthiza pusilla,brotho1,Brown Thornbill,
Acanthiza reguloides,burtho1,Buff-rumped Thornbill,
Acanthiza robustirostris,slbtho1,Slaty-backed Thornbill,
Acanthiza uropygialis,chrtho1,Chestnut-rumped Thornbill,
Acanthodis tessellata,,,
Acanthogryllus acus,,,
Acanthogryllus brunneri,,,
Acanthoplus discoidalis,,,
Acanthorhynchus superciliosus,wesspi1,Western Spinebill,
Acanthorhynchus tenuirostris,easspi1,Eastern Spinebill,
Acanthornis magna,scrubt2,Scrubtit,
Acanthosoma haemorrhoidale,,,
Acanthoventris drewseni,,,
Accelerating_and_revving_and_vroom,,,
Accipiter madagascariensis,madspa1,Madagascar Sparrowhawk,
Accipiter nisus,eurspa1,Eurasian Sparrowhawk,
Accipiter ovampensis,ovaspa2,Ovambo Sparrowhawk,
Accipiter poliogaster,gybhaw1,Grey-bellied Hawk,GBEH
Accipiter rufiventris,rucspa2,Rufous-breasted Sparrowhawk,
Accipiter striatus,shshaw,Sharp-shinned Hawk,SSHA
Accordion,,,
Aceros nipalensis,runhor1,Rufous-necked Hornbill,
Achaetops pycnopygius,damroc1,Rockrunner,
Acherontia atropos,,,
Acheta confalonierii,,,
Acheta domesticus,,,
Acheta hispanicus,,,
Acheta meridionalis,,,
Acheta rufopictus,,,
Acheta turcomanoides,,,
Acinonyx jubatus,,,
Acontista concinna,,,
Acoustic_guitar,,,
Acrida ungarica,,,
Acridotheres albocinctus,colmyn1,Collared Myna,
Acridotheres burmannicus,vibsta1,Burmese Myna,
Acridotheres cristatellus,cremyn,Crested Myna,
Acridotheres fuscus,junmyn1,Jungle Myna,
Acridotheres ginginianus,banmyn1,Bank Myna,
Acridotheres grandis,whvmyn1,Great Myna,
Acridotheres javanicus,whvmyn,Javan Myna,
Acridotheres leucocephalus,vibsta4,Vinous-breasted Myna,
Acridotheres melanopterus,bkwsta1,Black-winged Myna,
Acridotheres tristis,commyn,Common Myna,COMY
Acripeza reticulata,,,
Acris blanchardi,,,
Acris crepitans,,,
Acris gryllus,,,
Acritillas indica,yebbul3,Yellow-browed Bulbul,
Acrobates pygmaeus,,,
Acrobatornis fonsecai,pilgra1,Pink-legged Graveteiro,
Acrocephalus aequinoctialis,chiwar1,Bokikokiko,
Acrocephalus agricola,padwar1,Paddyfield Warbler,
Acrocephalus arundinaceus,grrwar1,Great Reed Warbler,
Acrocephalus atyphus,turwar1,Tuamotu Reed Warbler,
Acrocephalus australis,aurwar1,Australian Reed Warbler,
Acrocephalus bistrigiceps,bbrwar1,Black-browed Reed Warbler,
Acrocephalus brevipennis,cvswar1,Cape Verde Warbler,
Acrocephalus caffer,tahrew1,Tahiti Reed Warbler,
Acrocephalus concinens,blwwar1,Blunt-winged Warbler,
Acrocephalus dumetorum,blrwar1,Blyth's Reed Warbler,BREW
Acrocephalus familiaris,miller,Millerbird,MILL
Acrocephalus gracilirostris,leswar1,Lesser Swamp Warbler,
Acrocephalus griseldis,barwar2,Basra Reed Warbler,
Acrocephalus hiwae,sairew1,Saipan Reed Warbler,
Acrocephalus kerearako,cirwar2,Cook Reed Warbler,
Acrocephalus melanopogon,mouwar1,Moustached Warbler,
Acrocephalus mendanae,marwar2,Southern Marquesan Reed Warbler,
Acrocephalus newtoni,maswar1,Madagascar Swamp Warbler,
Acrocephalus orientalis,orrwar1,Oriental Reed Warbler,
Acrocephalus orinus,labrew1,Large-billed Reed Warbler,
